transaction_id,customer_id,merchant_id,amount,payment_method,timestamp,status,failure_reason,attempt_number,previous_successes,previous_failures,recovery_eligible,is_high_value,is_first_attempt,customer_success_ratio,recovery_probability,amount_score,failure_reason_score,retry_score,customer_history_score,recovery_score,recovery_priority,ai_decision,expected_revenue
TXN000171,CUST0194,MERCHANT008,49262.86,UPI,2026-08-19 19:45:15.848634,FAILED,Timeout,1,20,0,True,1,1,1.0,0.8870992063492065,40,25,20,15,100,VERY HIGH,SMART_RETRY,43701.04400849207
TXN006105,CUST1970,MERCHANT004,49477.74,UPI,2026-08-21 14:15:54.848634,FAILED,Timeout,1,19,0,True,1,1,1.0,0.8575348788638263,40,25,20,15,100,VERY HIGH,SMART_RETRY,42428.88777735589
TXN007553,CUST1765,MERCHANT002,47560.34,NETBANKING,2026-08-23 09:42:25.848634,FAILED,Network Error,1,12,0,True,1,1,1.0,0.8824139553429027,40,25,20,15,100,VERY HIGH,ALTERNATE_ROUTE,41967.90773685327
TXN008940,CUST0177,MERCHANT001,48041.27,NETBANKING,2026-08-21 05:21:00.848634,FAILED,Network Error,1,19,0,True,1,1,1.0,0.8603833333883678,40,25,20,15,100,VERY HIGH,ALTERNATE_ROUTE,41333.90802281059
TXN008851,CUST0656,MERCHANT003,42422.35,UPI,2026-08-20 11:03:58.848634,FAILED,Timeout,1,20,2,True,1,1,0.9090909090909091,0.937376984126984,40,25,20,15,100,VERY HIGH,SMART_RETRY,39765.73450257936
TXN005994,CUST1151,MERCHANT006,46704.86,UPI,2026-08-24 00:57:41.848634,FAILED,Network Error,1,15,5,True,1,1,0.75,0.8230766819615923,40,25,20,10,95,VERY HIGH,ALTERNATE_ROUTE,38441.6812002807
TXN002215,CUST0913,MERCHANT001,38736.62,UPI,2026-08-20 16:32:26.848634,FAILED,Network Error,1,15,1,True,1,1,0.9375,0.9698801169590645,30,25,20,15,90,VERY HIGH,ALTERNATE_ROUTE,37569.87753619884
TXN007230,CUST0491,MERCHANT007,45187.12,NETBANKING,2026-08-23 22:20:40.848634,FAILED,Timeout,1,18,1,True,1,1,0.9473684210526315,0.8296917749468093,40,25,20,15,100,VERY HIGH,SMART_RETRY,37491.38179753447
TXN005770,CUST0425,MERCHANT005,48515.7,NETBANKING,2026-08-24 16:40:47.848634,FAILED,Insufficient Funds,1,8,2,True,1,1,0.8,0.7722042860367079,40,5,20,10,75,HIGH,REQUEST_CUSTOMER_ACTION,37464.031480071106
TXN008357,CUST1904,MERCHANT009,46640.02,CARD,2026-08-23 14:09:44.848634,FAILED,Insufficient Funds,1,10,2,True,1,1,0.8333333333333334,0.7982317297259158,40,5,20,15,80,VERY HIGH,REQUEST_CUSTOMER_ACTION,37229.54383905131
TXN003367,CUST1885,MERCHANT005,49363.98,WALLET,2026-08-18 13:08:10.848634,FAILED,Network Error,3,16,4,False,1,0,0.8,0.7324225659960956,40,25,0,10,75,HIGH,STOP_AUTOMATIC_RETRY,36155.29289937994
TXN005086,CUST0506,MERCHANT001,48428.79,UPI,2026-08-19 06:57:09.848634,FAILED,Technical Error,1,4,0,True,1,1,1.0,0.7422310429222194,40,20,20,5,85,VERY HIGH,RETRY_WITH_DELAY,35945.35130916115
TXN005598,CUST0769,MERCHANT004,48281.99,NETBANKING,2026-08-19 02:26:49.848634,FAILED,Insufficient Funds,1,11,4,True,1,1,0.7333333333333333,0.7421625755685266,40,5,20,10,75,HIGH,REQUEST_CUSTOMER_ACTION,35833.08605197384
TXN000497,CUST0316,MERCHANT001,43604.33,NETBANKING,2026-08-21 10:29:40.848634,FAILED,Network Error,1,5,0,True,1,1,1.0,0.8196339048378521,40,25,20,10,95,VERY HIGH,ALTERNATE_ROUTE,35739.5872657383
TXN005070,CUST1371,MERCHANT007,37590.52,UPI,2026-08-22 17:01:06.848634,FAILED,Technical Error,1,13,2,True,1,1,0.8666666666666667,0.9449634502923978,30,20,20,15,85,VERY HIGH,FALLBACK_PROCESSOR,35521.66747748538
TXN000392,CUST0642,MERCHANT001,42527.53,UPI,2026-08-22 05:25:04.848634,FAILED,Bank Declined,1,14,2,True,1,1,0.875,0.8015118474290304,40,10,20,15,85,VERY HIGH,RETRY_WITH_DELAY,34086.31913689351
TXN004625,CUST0535,MERCHANT001,48101.46,NETBANKING,2026-08-22 21:40:02.848634,FAILED,Timeout,1,16,5,True,1,1,0.7619047619047619,0.7045502378585905,40,25,20,10,95,VERY HIGH,RETRY_WITH_DELAY,33889.89508434547
TXN008657,CUST0563,MERCHANT001,44568.62,CARD,2026-08-18 16:27:32.848634,FAILED,Bank Declined,1,19,1,True,1,1,0.95,0.7560493088782563,40,10,20,15,85,VERY HIGH,RETRY_WITH_DELAY,33696.07434865763
TXN002484,CUST0634,MERCHANT008,41212.3,WALLET,2026-08-18 03:33:43.848634,FAILED,Network Error,2,13,3,True,1,0,0.8125,0.8143561700984335,40,25,10,10,85,VERY HIGH,ALTERNATE_ROUTE,33561.490788947674
TXN002975,CUST0206,MERCHANT006,36820.09,UPI,2026-08-23 09:22:30.848634,FAILED,Insufficient Funds,1,14,2,True,1,1,0.875,0.8997610859195946,30,5,20,15,70,HIGH,REQUEST_CUSTOMER_ACTION,33129.2841620572
TXN003840,CUST0644,MERCHANT006,38694.99,CARD,2026-08-19 02:31:55.848634,FAILED,Insufficient Funds,1,13,1,True,1,1,0.9285714285714286,0.8550298297740156,30,5,20,15,70,HIGH,REQUEST_CUSTOMER_ACTION,33085.370712807235
TXN000852,CUST0247,MERCHANT010,35031.89,UPI,2026-08-23 03:25:14.848634,FAILED,Network Error,1,13,0,True,1,1,1.0,0.9306671539961016,30,25,20,15,90,VERY HIGH,ALTERNATE_ROUTE,32603.02936540449
TXN006875,CUST0819,MERCHANT006,48049.64,UPI,2026-08-23 12:48:02.848634,FAILED,Network Error,3,6,3,False,1,0,0.6666666666666666,0.6731872332460569,40,25,0,10,75,HIGH,STOP_AUTOMATIC_RETRY,32346.404210069064
TXN007182,CUST0257,MERCHANT005,49550.15,UPI,2026-08-23 01:12:12.848634,FAILED,Technical Error,1,0,4,True,1,1,0.0,0.6512215347376641,40,20,20,0,80,VERY HIGH,RETRY_WITH_DELAY,32268.124729481468
