amount,payment_method,failure_reason,attempt_number,previous_successes,previous_failures,is_high_value,is_first_attempt,customer_success_ratio,recovered
37468.05,CARD,Technical Error,3,18,1,1,0,0.9,1
17511.95,CARD,Timeout,1,12,3,0,1,0.75,0
29628.33,WALLET,Insufficient Funds,2,2,4,1,0,0.2857142857142857,0
26302.32,CARD,Timeout,3,6,1,1,0,0.75,0
23427.31,UPI,Technical Error,3,6,2,0,0,0.6666666666666666,1
17147.49,NETBANKING,Network Error,1,1,2,0,1,0.25,1
10244.78,UPI,Network Error,2,12,2,0,0,0.8,1
1199.6,CARD,Bank Declined,1,11,3,0,1,0.7333333333333333,0
37922.6,CARD,Insufficient Funds,2,2,2,1,0,0.4,0
49551.02,NETBANKING,Timeout,2,4,4,1,0,0.4444444444444444,0
23868.36,NETBANKING,Technical Error,2,5,5,0,0,0.45454545454545453,1
28542.08,NETBANKING,Timeout,2,7,1,1,0,0.7777777777777778,0
49262.86,UPI,Timeout,1,20,0,1,1,0.9523809523809523,1
8357.7,NETBANKING,Timeout,1,15,5,0,1,0.7142857142857143,1
14070.37,WALLET,Insufficient Funds,3,15,4,0,0,0.75,0
430.7,CARD,Bank Declined,3,19,0,0,0,0.95,1
38274.73,UPI,Bank Declined,1,12,4,1,1,0.7058823529411765,1
3496.24,UPI,Bank Declined,3,8,5,0,0,0.5714285714285714,0
37187.18,NETBANKING,Technical Error,2,20,5,1,0,0.7692307692307693,1
18075.95,CARD,Timeout,3,13,4,0,0,0.7222222222222222,1
3583.07,CARD,Network Error,1,8,4,0,1,0.6153846153846154,1
40054.02,WALLET,Insufficient Funds,2,18,3,1,0,0.8181818181818182,1
14080.9,UPI,Timeout,1,12,5,0,1,0.6666666666666666,1
176.88,CARD,Insufficient Funds,2,1,5,0,0,0.14285714285714285,0
31677.78,CARD,Insufficient Funds,3,17,3,1,0,0.8095238095238095,0
42872.98,CARD,Bank Declined,1,5,0,1,1,0.8333333333333334,0
42527.53,UPI,Bank Declined,1,14,2,1,1,0.8235294117647058,1
10682.03,NETBANKING,Technical Error,2,18,4,0,0,0.782608695652174,0
49730.64,NETBANKING,Insufficient Funds,3,1,1,1,0,0.3333333333333333,0
26149.65,NETBANKING,Timeout,1,15,0,1,1,0.9375,1
45220.6,WALLET,Timeout,1,6,2,1,1,0.6666666666666666,1
25431.1,UPI,Insufficient Funds,2,0,4,1,0,0.0,0
32650.57,UPI,Timeout,1,19,0,1,1,0.95,1
33252.92,NETBANKING,Network Error,2,16,5,1,0,0.7272727272727273,0
1243.82,CARD,Network Error,3,1,1,0,0,0.3333333333333333,0
43604.33,NETBANKING,Network Error,1,5,0,1,1,0.8333333333333334,1
31790.93,WALLET,Insufficient Funds,1,7,5,1,1,0.5384615384615384,0
26173.56,NETBANKING,Insufficient Funds,2,1,4,1,0,0.16666666666666666,0
21889.25,CARD,Network Error,2,7,2,0,0,0.7,0
29735.0,UPI,Network Error,3,7,0,1,0,0.875,1
14432.76,WALLET,Timeout,3,14,3,0,0,0.7777777777777778,1
31897.49,CARD,Insufficient Funds,1,7,0,1,1,0.875,0
45266.39,NETBANKING,Technical Error,2,11,4,1,0,0.6875,1
