transaction_id,customer_id,merchant_id,amount,payment_method,timestamp,status,failure_reason,attempt_number,previous_successes,previous_failures,recovery_eligible
TXN000001,CUST1291,MERCHANT002,16895.7,CARD,2026-08-19 06:31:32.848634,SUCCESS,,1,13,0,False
TXN000002,CUST1101,MERCHANT005,36033.91,NETBANKING,2026-08-18 20:00:05.848634,SUCCESS,,1,13,3,False
TXN000003,CUST1521,MERCHANT009,31732.54,UPI,2026-08-22 11:57:56.848634,SUCCESS,,1,8,0,False
TXN000004,CUST0491,MERCHANT001,37468.05,CARD,2026-08-19 22:38:01.848634,FAILED,Technical Error,3,18,1,False
TXN000005,CUST0569,MERCHANT008,7719.75,CARD,2026-08-21 16:13:00.848634,SUCCESS,,1,6,4,False
TXN000006,CUST0453,MERCHANT010,28551.02,WALLET,2026-08-18 08:25:46.848634,SUCCESS,,1,3,2,False
TXN000007,CUST1190,MERCHANT001,11192.98,NETBANKING,2026-08-19 02:17:34.848634,SUCCESS,,1,18,1,False
TXN000008,CUST0931,MERCHANT004,30388.56,UPI,2026-08-23 14:44:52.848634,SUCCESS,,1,17,0,False
TXN000009,CUST1780,MERCHANT001,14621.63,WALLET,2026-08-18 08:56:12.848634,SUCCESS,,1,17,2,False
TXN000010,CUST0141,MERCHANT010,42687.74,NETBANKING,2026-08-21 11:40:01.848634,SUCCESS,,1,10,5,False
TXN000011,CUST0091,MERCHANT009,6422.04,CARD,2026-08-19 11:15:24.848634,SUCCESS,,1,18,3,False
TXN000012,CUST0087,MERCHANT004,16333.17,UPI,2026-08-22 10:19:36.848634,SUCCESS,,1,4,0,False
TXN000013,CUST0850,MERCHANT005,25094.57,WALLET,2026-08-19 03:39:54.848634,SUCCESS,,1,14,0,False
TXN000014,CUST0684,MERCHANT006,49982.71,WALLET,2026-08-18 10:10:50.848634,SUCCESS,,1,12,3,False
TXN000015,CUST1905,MERCHANT004,15363.75,WALLET,2026-08-23 11:44:40.848634,SUCCESS,,1,10,0,False
TXN000016,CUST0128,MERCHANT010,27219.94,UPI,2026-08-23 13:24:41.848634,SUCCESS,,1,9,3,False
TXN000017,CUST1326,MERCHANT001,5903.14,UPI,2026-08-21 14:46:46.848634,SUCCESS,,1,17,5,False
TXN000018,CUST1646,MERCHANT003,17511.95,CARD,2026-08-23 13:13:04.848634,FAILED,Timeout,1,12,3,True
TXN000019,CUST0873,MERCHANT009,44657.3,WALLET,2026-08-19 10:16:57.848634,SUCCESS,,1,14,5,False
TXN000020,CUST1860,MERCHANT005,30581.22,WALLET,2026-08-23 20:57:05.848634,SUCCESS,,1,3,0,False
TXN000021,CUST1049,MERCHANT005,19565.57,WALLET,2026-08-23 18:59:12.848634,SUCCESS,,1,14,0,False
TXN000022,CUST0327,MERCHANT007,31983.43,UPI,2026-08-23 16:50:01.848634,SUCCESS,,1,1,4,False
TXN000023,CUST1591,MERCHANT007,38055.19,CARD,2026-08-19 03:23:51.848634,SUCCESS,,1,5,0,False
TXN000024,CUST0719,MERCHANT008,10326.7,WALLET,2026-08-24 00:32:32.848634,SUCCESS,,1,8,5,False
TXN000025,CUST0712,MERCHANT004,9500.67,WALLET,2026-08-22 01:12:26.848634,SUCCESS,,1,4,1,False
